angle,sin,cos
3b3440,3b33b8,fff9277
3b5b50,3b5ac7,fff91e6
3b8260,3b81d6,fff9155
3ba970,3ba8e5,fff90c4
3bd080,3bcff4,fff9032
3bf790,3bf703,fff8fa0
3c1ea0,3c1e12,fff8f0d
3c45b0,3c4521,fff8e7a
3c6cc0,3c6c30,fff8de7
3c93d0,3c933f,fff8d53
3cbae0,3cba4e,fff8cbf
3ce1f0,3ce15d,fff8c2b
3d0900,3d086b,fff8b96
3d3010,3d2f7a,fff8b01
3d5720,3d5689,fff8a6b
3d7e30,3d7d98,fff89d5
3da540,3da4a7,fff893f
3dcc50,3dcbb6,fff88a8
3df360,3df2c5,fff8811
3e1a70,3e19d4,fff877a
3e4180,3e40e2,fff86e2
3e6890,3e67f1,fff864a
3e8fa0,3e8f00,fff85b1
3eb6b0,3eb60f,fff8518
3eddc0,3edd1e,fff847f
3f04d0,3f042d,fff83e5
3f2be0,3f2b3b,fff834b
3f52f0,3f524a,fff82b1
3f7a00,3f7959,fff8216
3fa110,3fa068,fff817b
3fc820,3fc777,fff80df
3fef30,3fee85,fff8043
401640,401594,fff7fa7
403d50,403ca3,fff7f0a
406460,4063b2,fff7e6d
408b70,408ac0,fff7dd0
40b280,40b1cf,fff7d32
40d990,40d8de,fff7c94
4100a0,40ffed,fff7bf6
4127b0,4126fb,fff7b57
414ec0,414e0a,fff7ab8
4175d0,417519,fff7a18
419ce0,419c28,fff7978
41c3f0,41c336,fff78d8
41eb00,41ea45,fff7837
421210,421154,fff7796
423920,423862,fff76f4
426030,425f71,fff7652
428740,428680,fff75b0
42ae50,42ad8e,fff750e
42d560,42d49d,fff746b
42fc70,42fbac,fff73c7
432380,4322ba,fff7323
434a90,4349c9,fff727f
4371a0,4370d8,fff71db
4398b0,4397e6,fff7136
43bfc0,43bef5,fff7091
43e6d0,43e604,fff6feb
440de0,440d12,fff6f45
4434f0,443421,fff6e9f
445c00,445b30,fff6df8
448310,44823e,fff6d51
44aa20,44a94d,fff6caa
44d130,44d05b,fff6c02
44f840,44f76a,fff6b5a
451f50,451e78,fff6ab1
454660,454587,fff6a08
456d70,456c96,fff695f
459480,4593a4,fff68b5
45bb90,45bab3,fff680b
45e2a0,45e1c1,fff6761
4609b0,4608d0,fff66b6
4630c0,462fde,fff660b
4657d0,4656ed,fff655f
467ee0,467dfb,fff64b3
46a5f0,46a50a,fff6407
46cd00,46cc18,fff635a
46f410,46f327,fff62ad
471b20,471a35,fff6200
474230,474144,fff6152
476940,476852,fff60a4
479050,478f61,fff5ff6
47b760,47b66f,fff5f47
47de70,47dd7e,fff5e97
480580,48048c,fff5de8
482c90,482b9b,fff5d38
4853a0,4852a9,fff5c87
487ab0,4879b8,fff5bd7
48a1c0,48a0c6,fff5b26
48c8d0,48c7d4,fff5a74
48efe0,48eee3,fff59c2
4916f0,4915f1,fff5910
493e00,493d00,fff585d
496510,49640e,fff57aa
498c20,498b1c,fff56f7
49b330,49b22b,fff5643
49da40,49d939,fff558f
4a0150,4a0048,fff54db
4a2860,4a2756,fff5426
4a4f70,4a4e64,fff5371
4a7680,4a7573,fff52bb
4a9d90,4a9c81,fff5205
4ac4a0,4ac38f,fff514f
4aebb0,4aea9e,fff5098
4b12c0,4b11ac,fff4fe1
4b39d0,4b38ba,fff4f29
4b60e0,4b5fc9,fff4e72
4b87f0,4b86d7,fff4db9
4baf00,4bade5,fff4d01
4bd610,4bd4f4,fff4c48
4bfd20,4bfc02,fff4b8e
4c2430,4c2310,fff4ad5
4c4b40,4c4a1e,fff4a1b
4c7250,4c712d,fff4960
4c9960,4c983b,fff48a5
4cc070,4cbf49,fff47ea
4ce780,4ce657,fff472f
4d0e90,4d0d66,fff4673
4d35a0,4d3474,fff45b6
4d5cb0,4d5b82,fff44fa
4d83c0,4d8290,fff443d
4daad0,4da99e,fff437f
4dd1e0,4dd0ad,fff42c2
4df8f0,4df7bb,fff4203
4e2000,4e1ec9,fff4145
4e4710,4e45d7,fff4086
4e6e20,4e6ce5,fff3fc7
4e9530,4e93f4,fff3f07
4ebc40,4ebb02,fff3e47
4ee350,4ee210,fff3d87
4f0a60,4f091e,fff3cc6
4f3170,4f302c,fff3c05
4f5880,4f573a,fff3b43
4f7f90,4f7e48,fff3a81
4fa6a0,4fa557,fff39bf
4fcdb0,4fcc65,fff38fc
4ff4c0,4ff373,fff3839
501bd0,501a81,fff3776
5042e0,50418f,fff36b2
5069f0,50689d,fff35ee
509100,508fab,fff352a
50b810,50b6b9,fff3465
50df20,50ddc7,fff339f
510630,5104d5,fff32da
512d40,512be3,fff3214
515450,5152f1,fff314e
517b60,5179ff,fff3087
51a270,51a10d,fff2fc0
51c980,51c81b,fff2ef8
51f090,51ef29,fff2e30
5217a0,521637,fff2d68
523eb0,523d45,fff2ca0
5265c0,526453,fff2bd7
528cd0,528b61,fff2b0d
52b3e0,52b26f,fff2a44
52daf0,52d97d,fff2979
530200,53008b,fff28af
532910,532799,fff27e4
535020,534ea7,fff2719
537730,5375b5,fff264d
539e40,539cc3,fff2581
53c550,53c3d1,fff24b5
53ec60,53eadf,fff23e8
541370,5411ed,fff231b
543a80,5438fa,fff224e
546190,546008,fff2180
5488a0,548716,fff20b2
54afb0,54ae24,fff1fe3
54d6c0,54d532,fff1f14
54fdd0,54fc40,fff1e45
5524e0,55234e,fff1d76
554bf0,554a5b,fff1ca5
557300,557169,fff1bd5
559a10,559877,fff1b04
55c120,55bf85,fff1a33
55e830,55e693,fff1962
560f40,560da1,fff1890
563650,5634ae,fff17bd
565d60,565bbc,fff16eb
568470,5682ca,fff1618
56ab80,56a9d8,fff1544
56d290,56d0e5,fff1471
56f9a0,56f7f3,fff139c
5720b0,571f01,fff12c8
5747c0,57460f,fff11f3
576ed0,576d1c,fff111e
5795e0,57942a,fff1048
